id,features
1,['0.000000' '0.033143' '0.000000' ... '1.012939' '4.002028' '0.000000']
2,['0.000000' '4.156590' '2.049031' ... '0.000000' '0.087717' '0.000000']
3,['0.000000' '2.360187' '0.000000' ... '1.572407' '4.121805' '0.061897']
4,['0.000000' '1.207274' '3.750024' ... '0.537957' '0.000000' '0.813307']
5,['0.000000' '0.089656' '2.123260' ... '0.000000' '0.000000' '0.015018']
6,['0.000000' '1.471139' '0.187813' ... '0.000916' '0.000000' '0.000000']
7,['0.029075' '2.242864' '0.000000' ... '0.000000' '0.646253' '0.000000']
8,['0.000000' '1.967560' '0.000000' ... '0.000000' '4.682665' '0.000000']
9,['0.000000' '0.320873' '0.000000' ... '0.000000' '0.519619' '0.000000']
10,['0.000000' '0.006453' '0.000000' ... '0.000000' '2.986734' '0.000000']
11,['0.000000' '0.959558' '0.000000' ... '0.295250' '0.828572' '0.000000']
12,['0.000000' '2.782338' '0.000000' ... '0.000000' '2.382847' '0.000000']
13,['0.000000' '2.973085' '4.252800' ... '0.000000' '0.000000' '0.000000']
14,['0.000000' '1.697078' '2.327425' ... '0.000000' '0.741132' '0.000000']
15,['0.274817' '0.464709' '0.161511' ... '0.000000' '0.122247' '0.055029']
16,['0.000000' '0.000000' '0.000000' ... '0.000000' '0.000000' '0.000000']
17,['0.000000' '3.127409' '0.000000' ... '0.000000' '3.933172' '0.000000']
18,['0.000000' '1.611459' '0.000000' ... '0.000000' '1.774159' '0.000000']
19,['0.000000' '0.332097' '1.427136' ... '0.000000' '0.425881' '0.000000']
20,['0.000000' '1.791153' '1.226903' ... '0.898126' '0.487386' '0.000000']
21,['0.103437' '0.484888' '0.668780' ... '0.316867' '1.795573' '1.403088']
22,['0.000000' '0.600987' '0.703135' ... '0.442574' '1.601767' '0.026650']
23,['0.000000' '2.659850' '0.304774' ... '0.029713' '0.398751' '0.000000']
24,['0.000000' '0.255825' '0.000000' ... '0.123949' '0.145035' '0.000000']
25,['0.118474' '0.342317' '0.000000' ... '0.368342' '0.775831' '0.000000']
26,['0.000000' '1.226525' '0.000000' ... '0.136935' '1.174430' '0.000000']
27,['0.000000' '2.211122' '1.085632' ... '0.701580' '1.603228' '0.028325']
28,['0.159677' '4.584611' '0.000000' ... '0.200106' '1.535405' '0.000000']
29,['0.000000' '2.230661' '0.000000' ... '0.095553' '0.482972' '0.000000']
30,['0.000000' '0.569518' '2.817394' ... '0.000000' '0.118580' '0.000000']
31,['0.228262' '0.204150' '0.400235' ... '0.023014' '0.000000' '0.000000']
32,['0.000000' '0.119582' '0.000000' ... '0.272245' '0.323377' '0.000000']
33,['0.000000' '0.000000' '1.281541' ... '0.000000' '0.000000' '0.000000']
34,['0.000000' '0.062317' '0.000000' ... '0.000000' '0.241125' '0.000000']
35,['0.000000' '0.065735' '0.000000' ... '0.962532' '3.413550' '0.000000']
36,['0.000000' '1.604442' '0.000000' ... '1.461560' '1.906378' '0.000000']
37,['0.000000' '0.089292' '0.000000' ... '0.000000' '4.762007' '0.000000']
38,['0.000000' '0.412623' '2.039905' ... '0.000000' '0.038130' '0.000000']
39,['0.000000' '0.724768' '0.228733' ... '0.111047' '1.324884' '0.000000']
40,['0.000000' '0.210724' '0.000000' ... '0.062023' '4.636386' '0.000000']
41,['0.689738' '0.691344' '1.379571' ... '1.210012' '0.095989' '0.000000']
42,['0.216681' '2.045017' '0.000000' ... '0.000000' '0.645363' '0.018280']
43,['0.955149' '1.252108' '0.000000' ... '1.041117' '2.311956' '0.010120']
44,['0.000000' '0.000000' '0.000000' ... '0.000000' '1.588675' '0.000000']
45,['0.000000' '0.281089' '0.000000' ... '0.432894' '4.167648' '0.000000']
46,['0.035380' '1.471437' '0.000000' ... '1.944365' '4.164834' '0.000000']
47,['0.000000' '3.007190' '0.341173' ... '0.141936' '1.038495' '0.000000']
48,['0.000000' '2.283041' '2.006174' ... '0.282207' '0.000000' '0.000000']
49,['0.542493' '0.593217' '0.090054' ... '0.738020' '0.000000' '0.000000']
50,['1.040636' '0.019621' '0.045173' ... '0.000000' '0.953072' '0.000000']
51,['0.000000' '0.197841' '3.112020' ... '0.032160' '0.148157' '0.000000']
52,['0.000000' '2.293628' '0.070389' ... '0.038428' '0.396581' '0.000000']
53,['1.032841' '1.908798' '0.243429' ... '0.620070' '0.798366' '0.000000']
54,['0.000000' '0.189136' '2.016025' ... '0.000000' '0.000000' '0.000000']
55,['0.000000' '0.043625' '0.000000' ... '0.000000' '3.361271' '0.000000']
56,['0.000000' '4.851985' '2.796597' ... '0.077133' '0.008677' '0.000000']
57,['0.000000' '3.277219' '0.000000' ... '0.078780' '1.080518' '0.000000']
58,['0.121319' '0.190242' '0.000000' ... '0.000000' '0.131514' '0.884538']
59,['0.000000' '1.815515' '0.000000' ... '1.793481' '0.322565' '0.000000']
60,['0.066886' '2.565220' '4.720233' ... '0.000000' '0.000000' '0.000000']
61,['0.113274' '0.474096' '0.000000' ... '0.000000' '0.213475' '0.000000']
62,['0.000000' '1.075823' '0.000000' ... '0.570738' '4.624824' '0.000000']
63,['0.000000' '3.280505' '1.428484' ... '0.000000' '0.000000' '0.000000']
64,['0.000000' '3.020614' '0.000000' ... '1.366463' '2.220957' '0.000000']
65,['2.530949' '0.346772' '0.974727' ... '0.240508' '0.780785' '0.000000']
66,['0.000000' '1.115405' '0.000000' ... '0.124326' '1.443727' '0.000000']
67,['0.000000' '0.000000' '1.438937' ... '0.000000' '0.639224' '0.000000']
68,['0.000000' '0.940821' '0.366966' ... '3.460661' '0.549985' '0.000000']
69,['0.000000' '0.945693' '0.000000' ... '0.506063' '4.667085' '0.230687']
70,['0.000000' '1.390568' '0.265529' ... '0.012354' '0.007149' '0.000000']
71,['0.000000' '1.930090' '0.000000' ... '2.326554' '4.576946' '0.000000']
72,['2.266420' '0.923236' '0.000000' ... '0.050352' '2.196793' '0.009704']
73,['1.186804' '1.745355' '0.000000' ... '1.716140' '2.106225' '0.000000']
74,['0.000000' '0.000000' '0.000000' ... '0.419605' '0.000000' '0.000000']
75,['0.000000' '0.000000' '0.000000' ... '0.043173' '3.359105' '0.000000']
76,['0.076667' '1.085140' '0.312581' ... '1.612517' '0.937430' '0.000000']
77,['0.000000' '4.312339' '0.000000' ... '0.035610' '5.337383' '0.004481']
78,['0.000000' '1.440199' '0.000000' ... '0.003269' '5.017558' '0.000000']
79,['0.000000' '1.089322' '0.000000' ... '0.000000' '4.527523' '0.000000']
80,['0.000000' '3.743193' '2.769027' ... '0.000000' '0.000000' '0.000000']
81,['1.545965' '2.047825' '0.104559' ... '0.000000' '4.610354' '0.007938']
82,['0.000000' '4.412333' '0.000000' ... '0.678264' '4.228366' '0.000000']
83,['0.000000' '2.643045' '0.000000' ... '0.000000' '3.622231' '0.006360']
84,['0.062018' '0.706408' '0.000000' ... '0.063673' '0.000000' '0.000000']
85,['0.000000' '0.734250' '0.000000' ... '0.080911' '4.218284' '0.003963']
86,['0.010458' '4.317827' '2.640970' ... '0.000000' '0.000000' '0.000000']
87,['0.000000' '0.828117' '4.378301' ... '0.000000' '0.022607' '0.000000']
88,['0.332844' '2.490386' '0.000000' ... '0.000000' '1.258347' '0.000000']
89,['0.044245' '3.963370' '4.179098' ... '0.000000' '0.000000' '0.000000']
90,['0.260365' '4.077311' '1.952241' ... '0.362797' '2.668203' '0.000000']
91,['0.000000' '0.045681' '0.991932' ... '0.000000' '0.000000' '0.000000']
92,['0.000000' '0.006595' '0.000000' ... '0.000000' '2.663132' '0.000000']
93,['0.000000' '2.487161' '2.674093' ... '0.000000' '0.026870' '0.000000']
94,['0.000000' '2.928805' '0.000000' ... '0.746359' '4.705215' '0.000000']
95,['0.000000' '0.379237' '0.000000' ... '0.773024' '0.832063' '0.368066']
96,['0.000000' '1.334035' '0.000000' ... '0.797230' '2.381496' '0.183816']
97,['0.000000' '2.134334' '0.159516' ... '0.597344' '3.386232' '0.000000']
98,['0.000000' '3.558969' '2.632767' ... '0.000000' '0.094070' '0.000000']
99,['0.000000' '3.173122' '0.619778' ... '0.000000' '1.907950' '0.000000']
100,['0.000000' '0.796916' '1.045467' ... '0.456406' '3.607507' '0.000000']
101,['0.000000' '0.535446' '3.025181' ... '0.000000' '0.000000' '0.000000']
102,['0.680487' '0.892985' '0.233535' ... '0.000000' '0.025614' '0.000000']
103,['0.000000' '3.434707' '0.000000' ... '0.130508' '2.527184' '0.000000']
104,['0.000000' '1.453666' '2.220065' ... '0.175738' '0.630696' '0.000000']
105,['0.000000' '2.756283' '0.000000' ... '0.000000' '4.047126' '0.000000']
106,['0.000000' '0.519481' '4.481515' ... '0.000000' '0.032782' '0.000000']
107,['0.000000' '1.771097' '0.000000' ... '0.369948' '2.578568' '0.000000']
108,['0.054687' '0.000000' '0.000000' ... '0.000000' '2.958585' '0.000000']
109,['0.000000' '0.000000' '0.000000' ... '0.356330' '2.492697' '0.000000']
110,['0.051855' '3.982733' '0.681290' ... '0.000000' '0.000000' '0.000000']
111,['0.000000' '4.790842' '0.000000' ... '0.052502' '5.169078' '0.000000']
112,['0.000000' '1.625887' '0.000000' ... '0.645428' '2.094347' '0.000000']
113,['0.000000' '0.028449' '0.000000' ... '0.746980' '0.854762' '0.000000']
114,['0.000000' '0.371675' '0.000000' ... '0.000000' '1.467065' '0.000000']
115,['0.000000' '1.170060' '1.699880' ... '0.977417' '0.939872' '0.000000']
116,['0.000000' '3.205500' '0.922054' ... '0.090852' '2.611630' '0.000000']
117,['0.000000' '3.508085' '0.000000' ... '0.984839' '3.953873' '0.000000']
118,['0.000000' '0.500799' '0.000000' ... '1.228098' '2.987261' '0.000000']
119,['0.000000' '1.807941' '4.570206' ... '0.379888' '0.953518' '0.000000']
120,['0.412388' '0.044652' '0.000000' ... '0.362090' '1.922585' '0.000000']
121,['0.000000' '0.084410' '0.000000' ... '0.065331' '3.425829' '0.019043']
122,['0.000000' '0.371182' '0.000000' ... '0.246391' '5.001747' '0.000788']
123,['0.183730' '2.999079' '0.000000' ... '0.000000' '1.538552' '0.000000']
124,['0.000000' '0.239335' '0.000000' ... '0.038401' '3.149287' '0.000000']
125,['0.000000' '0.000000' '1.438937' ... '0.000000' '0.639224' '0.000000']
126,['0.000000' '1.349329' '0.000000' ... '2.208091' '2.152456' '0.032437']
127,['0.000000' '0.000000' '0.000000' ... '0.000000' '1.458070' '0.000000']
128,['0.656579' '1.319055' '2.104820' ... '0.000000' '0.000000' '0.006264']
129,['0.000000' '0.000000' '1.438937' ... '0.000000' '0.639224' '0.000000']
130,['0.000000' '0.649995' '0.000000' ... '0.187480' '2.280139' '0.000000']
131,['0.000000' '0.137776' '0.000000' ... '0.461869' '4.223455' '0.000000']
132,['0.225880' '3.936404' '0.857698' ... '0.681863' '0.783359' '0.000000']
133,['0.000000' '0.479443' '0.000000' ... '0.965268' '2.658562' '0.000000']
134,['0.000000' '2.823296' '1.533448' ... '0.387630' '0.698548' '0.000000']
135,['0.000000' '0.000000' '0.000000' ... '0.000000' '1.279927' '0.000000']
136,['2.909471' '2.408654' '0.000000' ... '1.234233' '2.317482' '0.000000']
137,['0.000000' '2.265944' '0.000000' ... '1.359869' '3.283103' '0.000000']
138,['0.000000' '0.887045' '0.388431' ... '2.897523' '0.329507' '0.000000']
139,['0.055493' '0.226612' '0.000000' ... '0.000000' '1.559977' '0.000000']
140,['0.000000' '2.791771' '0.000000' ... '0.018704' '3.691306' '0.000000']
141,['0.000000' '0.757719' '0.000000' ... '0.476435' '1.979284' '0.000000']
142,['0.111892' '2.615772' '0.000000' ... '0.000000' '2.458566' '0.000000']
143,['0.000000' '0.000000' '0.000000' ... '0.000000' '2.243169' '0.000000']
144,['0.083153' '1.306555' '0.939138' ... '0.273485' '3.616695' '0.015881']
145,['0.000000' '0.004178' '0.000000' ... '0.914043' '2.127040' '0.000000']
146,['0.000000' '4.180217' '0.000000' ... '0.045010' '1.691440' '0.000000']
147,['0.000000' '0.634299' '0.248635' ... '0.000000' '0.453159' '0.220786']
148,['0.000000' '0.047407' '0.000000' ... '0.000000' '3.355755' '0.000000']
149,['0.000000' '1.125079' '0.000000' ... '0.062946' '3.707928' '0.000000']
150,['0.004358' '2.295657' '0.000000' ... '0.896940' '3.269801' '0.000000']
151,['0.000000' '0.447118' '0.260734' ... '0.000000' '0.000000' '0.000000']
