id,features
1,['-2.320779' '0.440030' '-1.615005' ... '3.577684' '9.429764' '-0.541967']
2,['-1.385734' '11.060200' '5.224479' ... '-0.306325' '1.133380' '-3.451085']
3,['-3.810300' '5.162384' '-3.115548' ... '4.225719' '9.073280' '0.990356']
4,['-2.098418' '3.258962' '7.931056' ... '2.017225' '-1.833559' '3.880751']
5,['-0.816994' '1.434494' '8.593456' ... '-2.346381' '-4.193551' '0.226135']
6,['-5.105504' '4.274733' '1.519852' ... '0.014651' '-1.524020' '-3.299225']
7,['0.269442' '5.270817' '-4.511748' ... '-1.860179' '3.586891' '-4.610249']
8,"['-1.552789' '6.657945' '-2.010778' ... '-0.606858' '10.111185'
 '-1.568502']"
9,['-4.680502' '3.042421' '-3.231585' ... '-1.267218' '3.515139' '-2.583235']
10,['-3.448187' '0.103243' '-4.451956' ... '-0.038204' '6.390764' '-0.814189']
11,['-3.302343' '4.403761' '-1.540681' ... '2.458757' '3.798024' '-1.944677']
12,['-4.341168' '5.941447' '-2.028529' ... '-0.771261' '5.307252' '-1.584819']
13,"['-1.395217' '7.399903' '10.241787' ... '-1.137272' '-1.934561'
 '-7.263386']"
14,['-2.161591' '3.629983' '5.506390' ... '-1.923698' '5.047266' '-0.886007']
15,['1.660345' '1.859885' '0.969787' ... '-3.683860' '0.970511' '0.880470']
16,"['-2.085151' '-0.401136' '-7.737902' ... '-3.351617' '-3.307735'
 '-4.330934']"
17,"['-2.778725' '5.809117' '-3.023203' ... '-1.296645' '10.397554'
 '-0.120856']"
18,['-3.569188' '4.648760' '-2.078280' ... '-2.928588' '4.796770' '-2.422573']
19,['-0.233240' '2.263959' '3.279014' ... '-0.273319' '3.063062' '-2.372087']
20,['-0.039633' '4.115161' '4.467466' ... '4.121964' '3.423393' '-2.723994']
21,['0.730145' '2.257040' '3.876480' ... '1.888858' '5.300590' '4.661060']
22,['-1.132715' '3.772528' '2.836871' ... '3.518416' '4.244887' '0.426407']
23,['-5.702952' '6.666842' '2.618458' ... '0.475409' '3.397023' '-6.104217']
24,['-3.159736' '1.251935' '-3.607729' ... '1.227149' '2.076094' '-3.290708']
25,['1.766294' '1.745606' '-2.682719' ... '2.963001' '4.336616' '-0.937387']
26,['-3.530507' '3.908366' '-5.832733' ... '1.254705' '3.975404' '-0.685526']
27,['-1.613986' '7.900090' '4.060566' ... '3.705859' '4.619737' '0.453192']
28,['1.568907' '12.505873' '-3.980231' ... '1.095261' '4.533782' '-6.625209']
29,['-2.551310' '4.542594' '-0.318716' ... '0.966839' '2.677020' '-3.752426']
30,['-0.960523' '2.045883' '7.006665' ... '-0.807387' '1.312085' '-7.849950']
